"Letter","degree","strength","betweenness"
"A",19,5.05823696494821,0
"D",19,4.48786681268402,0
"I",19,4.2958862625741,0
"M",19,4.6979423792156,0
"L",19,5.19332838956633,0
"J",19,4.71789925609177,0
"H",19,4.93318342478606,0
"K",19,4.61808334945637,0
"B",19,4.04696574492541,0
"F",19,4.02696671272841,0
"G",19,4.18236896055557,0
"R",19,3.96854618579414,0
"P",19,1.78386389760099,16
"N",19,4.23250560324113,0
"T",19,4.42051902308206,0
"Q",19,1.53571135861165,110
"S",19,2.60706290530125,0
"O",19,2.85198383581367,0
"E",19,3.35227206738895,6
"C",19,2.92014802775869,4
